,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ZINC,pdbqt,Lowest_E,Mean_E,Set,Mwt,LogP,Rotatable bonds,H-donors,H-acceptors,PSA,Net charge,Num chirals,chirals,SMILES,QED_mean
9883,254764,254764,6424,ZINC000223652573,EJABRN.xaa_ligand_02442.pdbqt,-5.87,-5.87,1,337.463,4.519,5,1,2,38,0,2,"[(5, 'R'), (10, 'S')]",Cc1ccc([C@@H](C)NC(=O)[C@H](C)Oc2cccc3c2CCCC3)cc1,0.8329308033746319
9884,117866,117866,6549,ZINC000008041001,EJABRN.xaa_ligand_10732.pdbqt,-5.87,-5.87,1,348.24,4.554,5,1,2,38,0,1,"[(2, 'R')]",CC[C@@H](Oc1ccc(C)cc1)C(=O)Nc1cccc(Br)c1,0.8228236284563132
9885,156073,156073,1953,ZINC000000260280,DJAARN.xaa_ligand_10678.pdbqt,-5.87,-5.87,1,312.369,4.51,3,1,3,41,0,0,[],Cc1sc(NC(=O)c2ccccc2F)nc1-c1ccccc1,0.739112272193907
9886,157840,157840,3720,ZINC000000385250,DJAARN.xaa_ligand_04391.pdbqt,-5.87,-5.87,1,302.786,4.51,2,1,3,41,0,0,[],Cc1nc(Cl)sc1C(=O)Nc1ccc2ccccc2c1,0.7234154859638471
9887,411321,411321,304,ZINC000223141623,EJABRN.xaa_ligand_02135.pdbqt,-5.87,-5.87,1,327.424,4.533,6,1,3,47,0,1,"[(9, 'S')]",COc1ccc(NC(=O)[C@H](C)Oc2cc(C)ccc2C(C)C)cc1,0.8103587442369091
9888,163830,163830,1138,ZINC000033049139,EJAARN.xaa_ligand_29933.pdbqt,-5.87,-5.87,1,338.432,4.519,3,1,4,55,0,1,"[(13, 'S')]",Cc1ccc(-c2ocnc2C(=O)N[C@H]2CCCc3ccccc32)s1,0.7303479941605251
9889,136509,136509,8070,ZINC000224369627,EJABRN.xaa_ligand_02692.pdbqt,-5.87,-5.87,1,341.451,4.501,8,1,3,47,0,1,"[(10, 'R')]",CCOc1ccc(C(=O)N[C@H](C)CC)cc1COc1ccccc1C,0.7352547226190254
9890,315851,315851,7569,ZINC000010165956,EJAARN.xaa_ligand_11754.pdbqt,-5.87,-5.87,1,343.814,4.579,3,1,3,53,0,0,[],COc1ccccc1NC(=O)N(C1=NCCC1)c1cccc(Cl)c1,0.847316783817013
9891,142884,142884,5881,ZINC000031092058,EJAARN.xaa_ligand_12719.pdbqt,-5.87,-5.87,1,328.774,4.517,3,1,2,41,0,0,[],Cc1ccc(NC(=O)Cc2c(F)cccc2Cl)c2cccnc12,0.7342906858004768
9892,451468,451468,6198,ZINC000036783885,EJAARN.xaa_ligand_09852.pdbqt,-5.87,-5.87,1,348.233,4.544,4,1,3,46,0,0,[],CCc1nc2ccccc2n1CC(=O)Nc1ccc(Cl)c(Cl)c1,0.7191728068392234
9893,485577,485577,6051,ZINC000004553967,FJAAMN.xaa_ligand_0106.pdbqt,-5.87,-5.87,1,361.898,4.597,2,3,3,45,1,1,"[(14, 'R')]",CC(C)N1CCc2c(sc3c2C(O)=N[C@H](c2ccc(Cl)cc2)N3)C1,0.7852236512151451
9894,308555,308555,273,ZINC000033084625,EJAARN.xaa_ligand_31732.pdbqt,-5.87,-5.87,1,349.409,4.535,3,1,3,45,0,0,[],Cc1cc(N2CCCC2)nc2ccc(NC(=O)c3ccc(F)cc3)cc12,0.7221164570222116
9895,17145,17145,25,ZINC000263616496,FJAARN.xaa_ligand_19762.pdbqt,-5.87,-5.87,1,361.445,4.53,4,1,4,56,0,1,"[(17, 'R')]",CC(C)c1ccc(NC(=O)c2ncn3c2CO[C@H](c2ccccc2)C3)cc1,0.7101085377578731
9896,506760,506760,1556,ZINC000408775559,EJABRN.xaa_ligand_00198.pdbqt,-5.87,-5.87,1,344.867,4.502,4,2,3,41,0,1,"[(7, 'R')]",CCc1ccc(N[C@@H]2NC(=O)/C(=C/c3cccc(Cl)c3)S2)cc1,0.7671176340127291
9897,318925,318925,2081,ZINC000225683920,GJABRN.xaa_ligand_13407.pdbqt,-5.87,-5.87,1,380.488,4.588,5,2,3,71,0,0,[],Cc1ccc(C(=O)N/C(=C\c2ccco2)C(=O)NC2CCCCCCC2)cc1,0.7126227661376561
9898,412180,412180,1163,ZINC000225322363,FJABRN.xaa_ligand_0723.pdbqt,-5.87,-5.87,1,354.233,4.582,6,1,3,47,0,0,[],COc1ccc(NC(=O)CCc2ccc(Cl)c(Cl)c2)c(OC)c1,0.7895050781975459
9899,434195,434195,6052,ZINC000032915096,EJAARN.xaa_ligand_29553.pdbqt,-5.87,-5.87,1,341.451,4.583,8,1,3,51,0,0,[],O=C(CC1CCCCC1)NCc1cccc(COCc2ccco2)c1,0.7305251133461352
9900,470211,470211,7815,ZINC000004542684,EJAARN.xaa_ligand_15383.pdbqt,-5.87,-5.87,1,341.794,4.539,5,1,3,51,0,0,[],COc1ccc(CNC(=O)c2ccc(-c3ccccc3Cl)o2)cc1,0.7084013484115702
9901,226315,226315,3672,ZINC000000369790,EJAARN.xaa_ligand_18496.pdbqt,-5.87,-5.87,1,338.451,4.559,8,2,2,58,0,0,[],CCc1ccc(NC(=O)CCCC(=O)Nc2ccc(CC)cc2)cc1,0.7085376613054857
9902,410746,410746,8290,ZINC000019931807,EJABRN.xaa_ligand_04924.pdbqt,-5.87,-5.87,1,349.883,4.536,7,1,3,38,0,1,"[(2, 'S')]",CC[C@H](Sc1ccc(Cl)cc1)C(=O)NCc1ccc(OC)cc1,0.7131415703768145
9903,202379,202379,5432,ZINC000014553024,EJABRN.xaa_ligand_09878.pdbqt,-5.87,-5.87,1,348.24,4.554,5,1,2,38,0,1,"[(2, 'R')]",CC[C@@H](Oc1cccc(C)c1)C(=O)Nc1cccc(Br)c1,0.8228236284563132
9904,311420,311420,3138,ZINC000005052342,FJAARN.xaa_ligand_17245.pdbqt,-5.87,-5.87,1,374.893,4.504,3,1,3,49,0,1,"[(13, 'R')]",Cc1ccc(NC(=O)CN2C(=O)C[C@@H](C)Sc3ccccc32)cc1Cl,0.8221951810314941
9905,339975,339975,6018,ZINC000095964147,EJAARN.xaa_ligand_11283.pdbqt,-5.87,-5.87,1,339.357,4.513,2,1,2,46,0,2,"[(12, 'R'), (16, 'R')]",O=C1CCCc2ccc(NC(=O)[C@@H]3CCC[C@@H](C(F)(F)F)C3)cc21,0.8237417904059274
9906,327561,327561,2156,ZINC000003533569,EJAARN.xaa_ligand_04063.pdbqt,-5.87,-5.87,1,341.436,4.593,3,1,5,68,0,0,[],Cc1cc(C)c(-c2csc(NC(=O)c3c(C)noc3C)n2)c(C)c1,0.7227959120926558
9907,196655,196655,8270,ZINC000199830337,FJABRN.xaa_ligand_6739.pdbqt,-5.87,-5.87,1,356.26,4.53,2,0,3,38,0,1,"[(6, 'R')]",COc1ccc([C@H]2CCCN2C(=O)OC(C)(C)C)cc1Br,0.7473098432320416
9908,475803,475803,4843,ZINC000046022324,GJAARN.xaa_ligand_44104.pdbqt,-5.87,-5.87,1,399.541,4.6,5,1,6,63,0,0,[],COc1ccc(NC(=O)CSC2=NC3(CCCC3)N=C2c2cccs2)cc1,0.763810653989604
9909,472240,472240,1280,ZINC000041157625,EJAARN.xaa_ligand_22180.pdbqt,-5.87,-5.87,1,334.419,4.512,5,1,3,51,0,1,"[(7, 'S')]",CCc1ccc(O[C@@H](C)C(=O)Nc2ccc(C)c3ncccc23)cc1,0.7139749333251424
9910,176097,176097,4838,ZINC000218952548,EJAARN.xaa_ligand_20347.pdbqt,-5.87,-5.87,1,348.471,4.507,4,1,3,32,0,0,[],Cc1ccc(CNC(=O)c2cccc(N3Cc4ccccc4C3)c2)s1,0.7195662021526709
9911,305198,305198,5483,ZINC000252610836,FJEARN.xaa_ligand_4319.pdbqt,-5.87,-5.87,1,356.447,4.548,5,0,5,55,0,0,[],COc1ccc(N=C2S/C(=C\c3ccco3)C(=O)N2CC(C)C)cc1,0.7053104612910249
9912,84024,84024,6967,ZINC000252549681,GJAARN.xaa_ligand_59067.pdbqt,-5.87,-5.87,1,381.307,4.527,4,0,4,51,0,1,"[(11, 'S')]",Cc1nn(CC(C)C)c(Cl)c1[C@@H]1CCCN1C(=O)c1ccc(Cl)cn1,0.7479208838273198
9913,260726,260726,3821,ZINC000072277158,GJAARN.xaa_ligand_14509.pdbqt,-5.86,-5.86,1,398.938,4.529,5,0,4,49,0,2,"[(2, 'S'), (9, 'S')]",CC[C@@H](c1ccccc1)[C@@H]1CCCN1C(=O)c1nc(N2CCCC2)ncc1Cl,0.7094917215374147
